H1,CD4,CD8
35,45,47
2,7,8
6,3,3
49,4,3
6,5,4
13,24,29
2,13,16
12,17,23
4,3,3
16,15,16
113,9,6
8,8,13
7,8,7
13,15,10
24,79,38
3,6,7
88,48,31
10,25,24
55,31,25
39,5,6
6,3,3
13,12,12
10,50,52
2,1,1
51,51,41
2,12,14
24,30,2
24,11,14
90,6,9
113,24,34
21,29,36
3,2,3
26,19,15
1,4,6
10,9,8
110,23,21
29,7,5
15,14,15
17,4,3
17,11,14
24,42,33
5,51,64
77,41,39
33,5,5
14,10,12
17,7,10
2,1,4
33,15,31
18,14,31
2,1,1
3,29,66
12,77,82
1,8,5
4,5,7
8,6,6
1,3,3
13,98,71
23,130,60
6,11,10
27,8,10
5,39,49
4,45,48
3,5,6
14,2,1
2,13,15
16,13,11
8,36,47
57,27,10
44,31,42
3,23,16
2,32,27
4,15,23
50,43,37
11,15,22
6,10,12
5,4,3
37,8,8
15,1,1
3,28,38
6,10,13
7,20,9
1,2,2
37,3,4
22,22,16
8,14,10
9,6,6
19,32,23
7,4,4
28,16,20
1,1,1
15,7,6
3,11,8
13,8,5
49,19,13
19,46,40
44,45,47
3,3,1
20,26,30
8,5,3
1,5,4
17,12,9
17,23,24
9,2,2
2,5,1
22,21,18
7,4,5
8,10,12
32,12,16
10,96,87
80,55,64
207,25,22
16,44,34
15,8,7
5,9,1
38,29,33
17,17,2
8,15,12
9,2,2
38,31,19
7,8,7
6,21,14
2,56,51
33,18,8
5,14,19
21,18,19
2,2,3
4,25,27
40,19,24
173,200,197
13,17,17
1,10,10
8,1,1
28,12,12
31,22,19
14,47,32
16,1,2
28,40,46
58,26,19
11,4,3
43,14,19
5,16,14
16,37,39
6,3,6
10,64,41
1,145,108
1,2,2
6,13,11
11,97,81
2,49,45
25,18,11
71,20,14
18,8,11
15,3,1
7,5,3
11,16,15
6,2,4
3,12,2
41,54,62
15,14,19
26,22,26
9,43,55
19,20,20
257,109,98
24,5,6
34,17,17
16,7,1
10,7,10
7,9,11
23,4,2
17,5,8
8,17,24
11,6,7
17,4,4
14,17,26
4,2,3
3,12,7
27,2,1
132,78,38
4,45,50
4,31,35
14,14,11
8,11,10
4,1,2
69,43,30
2,20,20
130,44,42
1,76,82
11,29,35
13,5,7
3,3,6
8,270,224
4,3,3
14,7,13
3,3,4
4,12,10
12,3,3
12,2,5
42,38,55
16,18,24
6,4,6
9,12,13
22,20,13
43,17,20
30,13,15
12,6,7
9,51,62
9,18,22
10,6,4
50,59,59
24,14,14
11,18,25
14,9,11
26,13,12
30,6,3
34,8,8
5,5,5
9,7,8
8,10,9
11,7,12
51,517,156
8,26,27
9,9,5
1,1,2
4,1,1
12,2,4
11,10,14
2,7,16
6,38,45
15,4,3
15,15,19
13,10,6
12,17,20
8,3,3
37,68,52
3,7,12
15,39,44
2,4,2
6,18,16
16,13,13
38,25,24
29,15,12
25,21,7
6,20,20
5,2,2
12,2,3
5,4,5
117,73,62
3,96,126
8,17,10
4,4,3
4,33,31
8,26,28
6,2,1
8,23,60
15,21,15
13,26,22
26,14,14
45,15,15
32,34,36
3,56,40
2,162,155
9,9,3
2,90,128
7,2,2
1,76,76
22,52,29
4,11,11
1,24,6
7,7,5
2,95,17
14,8,8
5,14,15
6,19,15
7,13,19
20,12,10
42,99,94
17,11,11
17,2,5
22,19,29
20,15,22
11,27,15
162,22,16
4,17,14
1,3,1
32,41,42
33,35,36
6,27,22
3,4,6
29,36,22
41,5,6
5,12,10
15,11,10
14,22,17
5,8,8
10,11,7
3,15,1
32,4,4
17,41,47
26,28,20
4,12,62
18,2,4
10,17,9
2,6,8
2,81,32
6,4,7
46,41,43
3,7,12
38,18,22
311,15,7
5,16,14
35,34,29
23,5,6
34,19,16
5,9,8
12,19,15
9,9,13
12,6,9
3,1,1
26,19,21
4,11,9
11,5,4
13,16,21
7,2,3
5,9,10
3,5,4
18,25,25
13,19,21
19,51,56
22,14,14
4,2,3
6,11,11
28,33,38
3,5,3
16,2,2
11,3,4
7,10,12
11,4,4
34,3,3
4,30,48
103,18,21
17,23,23
2,7,9
1,3,3
10,9,10
12,9,7
14,10,3
108,14,14
10,10,9
6,36,38
12,3,6
5,6,9
6,11,13
6,6,7
9,17,24
71,1,1
3,11,17
4,15,19
8,2,3
4,8,7
29,39,39
3,34,44
28,42,46
3,9,7
2,5,6
3,5,4
1,12,50
12,14,13
27,20,10
8,11,17
35,4,4
12,7,6
19,17,17
19,5,4
2,33,36
1,19,24
11,11,12
2,19,21
6,117,137
20,47,42
21,12,13
1,1,1
3,1,2
4,17,20
23,38,28
3,5,4
46,2,1
29,7,6
8,23,20
20,15,14
1,2,5
30,10,10
4,1,2
20,6,7
11,7,8
118,2,3
20,3,2
29,2,2
7,20,31
8,8,8
6,19,18
11,110,35
9,2,1
8,10,10
229,204,108
9,4,5
50,54,54
7,10,19
21,12,14
10,4,6
2,3,3
184,7,5
19,18,22
46,41,45
15,11,12
32,7,10
53,6,6
5,13,20
12,18,20
6,12,16
1,15,21
10,8,11
86,54,35
31,7,4
2,18,22
15,43,31
9,1,2
3,5,9
10,4,2
5,11,12
4,41,19
6,12,14
2,19,9
5,9,4
88,90,79
36,49,38
36,34,45
2,2,3
11,94,128
38,74,71
32,16,16
15,17,13
12,100,49
3,29,27
23,47,56
33,6,6
27,35,35
6,3,3
6,17,18
5,6,6
1,14,15
128,45,42
13,12,11
19,33,32
15,3,9
7,3,3
9,42,44
133,68,40
21,22,15
6,8,10
20,48,43
9,51,18
23,38,45
6,7,7
28,8,6
56,5,8
4,34,46
4,8,12
1,28,26
86,9,9
4,16,33
1,41,14
3,31,29
13,5,5
412,178,96
1,1,2
13,14,9
66,1,2
21,66,59
62,32,46
7,23,31
7,1,1
22,11,11
35,4,6
10,19,16
