actual_mean_temp,actual_min_temp,actual_max_temp,average_precipitation
81,70,91,0.1
85,74,95,0.1
82,71,93,0.11
75,64,86,0.1
72,60,84,0.1
74,61,87,0.1
79,67,91,0.11
83,72,94,0.11
80,71,89,0.12
78,71,85,0.11
78,68,87,0.12
79,67,91,0.11
81,69,92,0.12
85,74,96,0.12
81,67,94,0.12
76,66,85,0.12
74,63,84,0.12
77,70,83,0.12
70,66,74,0.12
74,65,83,0.12
74,70,77,0.12
79,72,85,0.12
80,69,90,0.13
80,71,89,0.12
77,68,86,0.13
78,66,89,0.13
80,70,90,0.13
79,68,90,0.13
73,62,83,0.14
74,63,85,0.14
72,65,78,0.14
68,65,70,0.14
69,65,72,0.14
77,67,86,0.15
78,69,87,0.15
77,65,88,0.15
78,68,88,0.14
78,67,88,0.13
77,73,81,0.13
76,68,84,0.13
70,67,73,0.13
78,71,85,0.13
81,72,89,0.13
75,65,84,0.14
71,59,83,0.14
73,60,86,0.14
77,68,86,0.14
78,67,89,0.14
81,71,90,0.13
80,70,90,0.14
79,67,91,0.14
80,67,93,0.13
83,70,95,0.15
82,73,91,0.13
74,66,81,0.14
72,60,83,0.14
72,60,84,0.14
72,57,87,0.13
77,61,92,0.13
79,69,88,0.13
79,68,90,0.12
83,74,91,0.12
82,71,93,0.11
82,69,94,0.12
81,68,93,0.11
77,69,85,0.11
79,69,89,0.11
80,70,90,0.11
79,70,88,0.11
70,67,73,0.11
72,66,77,0.11
72,65,79,0.1
77,64,89,0.1
81,72,90,0.09
76,66,86,0.11
66,62,69,0.1
76,65,86,0.11
76,65,86,0.11
69,63,74,0.11
71,62,80,0.11
73,67,79,0.1
71,59,82,0.11
71,57,85,0.11
69,61,76,0.1
59,53,65,0.11
59,53,64,0.1
66,61,70,0.11
67,62,71,0.11
69,59,78,0.11
68,60,76,0.12
67,64,70,0.11
71,59,83,0.12
70,56,84,0.12
72,59,85,0.11
70,61,79,0.12
55,43,67,0.12
52,38,65,0.12
62,47,76,0.12
67,53,80,0.11
72,58,86,0.12
66,52,80,0.12
72,60,84,0.11
78,68,87,0.12
63,58,68,0.12
66,59,72,0.12
73,64,82,0.11
66,58,73,0.11
61,50,71,0.11
59,44,74,0.11
65,53,76,0.12
57,45,69,0.1
59,46,71,0.11
61,47,75,0.11
56,44,68,0.1
55,40,70,0.11
54,39,69,0.1
57,39,74,0.09
66,48,83,0.1
62,43,80,0.09
68,52,84,0.1
69,58,79,0.1
57,45,68,0.1
50,39,61,0.1
47,40,53,0.1
44,30,57,0.1
45,24,65,0.1
53,39,67,0.1
60,49,70,0.1
60,48,71,0.1
50,39,61,0.1
45,31,58,0.11
51,38,63,0.1
51,32,69,0.1
57,39,74,0.09
59,41,77,0.1
53,46,60,0.1
37,28,46,0.11
35,25,45,0.1
41,29,53,0.1
47,36,57,0.11
30,20,39,0.1
29,14,44,0.11
47,34,59,0.11
44,30,58,0.11
39,22,55,0.11
54,42,65,0.11
67,59,74,0.11
58,49,66,0.1
46,40,52,0.11
43,34,52,0.11
36,25,47,0.11
44,31,56,0.12
54,39,68,0.11
57,41,73,0.11
49,42,55,0.11
53,42,64,0.12
56,49,63,0.11
47,42,51,0.11
47,42,52,0.1
48,39,56,0.1
40,36,43,0.11
46,37,55,0.1
43,32,53,0.1
37,23,51,0.11
41,22,60,0.11
46,25,66,0.1
46,29,63,0.1
43,26,60,0.1
48,37,58,0.1
46,31,60,0.1
43,30,56,0.1
43,30,56,0.11
44,40,48,0.1
47,42,51,0.1
42,38,46,0.11
42,37,47,0.11
53,45,60,0.11
45,32,57,0.1
43,27,59,0.11
48,32,64,0.1
55,49,60,0.11
51,44,58,0.1
39,32,45,0.1
37,27,46,0.1
40,26,53,0.11
47,42,52,0.1
50,47,52,0.11
56,47,65,0.11
45,36,54,0.12
41,24,57,0.11
29,16,41,0.12
18,8,28,0.11
34,22,45,0.11
30,19,41,0.12
31,15,46,0.12
41,37,45,0.11
41,35,47,0.12
35,30,40,0.11
34,26,42,0.11
43,30,56,0.11
41,24,57,0.11
49,37,61,0.11
49,33,64,0.11
53,39,67,0.11
50,36,64,0.11
41,25,57,0.11
41,36,45,0.11
43,33,53,0.1
43,28,57,0.11
45,37,53,0.1
39,29,48,0.1
36,23,49,0.11
38,25,50,0.1
38,26,49,0.11
35,19,51,0.11
47,36,57,0.11
42,26,57,0.11
34,22,46,0.12
41,28,53,0.11
40,27,52,0.11
32,18,45,0.1
47,28,65,0.11
59,47,70,0.1
56,51,61,0.11
45,37,53,0.1
42,28,55,0.11
42,26,57,0.11
31,21,40,0.12
40,23,56,0.11
25,14,36,0.13
29,24,33,0.12
29,23,34,0.13
32,21,42,0.12
19,12,26,0.13
19,7,31,0.13
34,25,42,0.13
47,36,57,0.13
44,35,52,0.13
32,28,35,0.13
36,29,42,0.13
37,31,42,0.12
38,26,50,0.13
37,29,44,0.13
36,31,40,0.13
55,39,70,0.14
46,40,51,0.12
56,42,69,0.13
52,36,68,0.14
35,25,44,0.13
42,23,61,0.14
52,32,71,0.14
58,51,65,0.14
66,53,78,0.13
71,58,83,0.14
61,51,70,0.14
50,42,58,0.13
53,41,64,0.14
63,49,76,0.14
62,43,81,0.13
63,41,84,0.13
54,47,61,0.13
49,42,55,0.13
50,42,58,0.12
56,40,71,0.12
62,54,70,0.12
58,51,65,0.11
59,45,72,0.12
62,54,69,0.12
65,56,74,0.13
54,43,65,0.12
43,34,51,0.13
42,29,55,0.12
55,39,70,0.13
56,35,77,0.12
61,49,73,0.11
66,58,73,0.12
70,58,82,0.1
58,45,71,0.11
52,36,67,0.1
64,51,77,0.1
65,57,72,0.11
73,63,82,0.1
77,65,88,0.1
75,67,82,0.11
67,56,78,0.1
62,50,74,0.09
66,59,73,0.1
73,65,80,0.09
58,50,65,0.09
51,47,54,0.1
62,54,69,0.1
70,60,79,0.1
67,64,69,0.1
67,60,74,0.11
58,45,71,0.1
60,43,77,0.11
62,49,74,0.11
54,38,70,0.1
56,51,61,0.1
53,48,58,0.1
55,39,71,0.1
54,38,69,0.1
55,45,64,0.09
63,49,76,0.09
57,47,67,0.09
61,45,76,0.1
63,46,80,0.1
69,55,83,0.1
69,56,82,0.1
69,53,84,0.09
70,58,81,0.1
71,57,85,0.1
72,60,84,0.1
74,65,82,0.1
76,61,90,0.1
77,66,88,0.1
73,60,85,0.1
67,58,75,0.1
73,63,82,0.1
75,62,87,0.1
75,63,86,0.09
78,67,89,0.1
77,65,89,0.1
76,61,91,0.1
75,64,86,0.1
64,52,76,0.1
65,47,82,0.1
68,54,82,0.11
73,59,86,0.11
78,67,88,0.11
75,65,84,0.11
78,67,88,0.12
78,67,88,0.12
76,65,87,0.11
78,67,89,0.12
77,66,88,0.13
73,64,81,0.13
67,64,69,0.13
69,61,77,0.13
72,59,84,0.13
76,62,90,0.13
78,70,86,0.14
79,69,88,0.13
79,67,90,0.13
79,69,89,0.12
79,68,90,0.14
81,71,90,0.13
83,72,94,0.13
83,68,97,0.13
84,68,99,0.14
84,69,99,0.13
86,73,99,0.12
87,74,100,0.13
84,72,96,0.13
83,71,95,0.12
84,71,97,0.13
83,65,100,0.12
87,73,100,0.11
88,75,100,0.12
86,74,98,0.11
85,70,100,0.11
82,71,92,0.11
76,66,85,0.11
73,59,87,0.11
83,71,94,0.11
